"component_id","component_name","category","folder_path","readme_present","workflow_json_count","test_payload_count","output_sample_count","catalog_record_present","last_write_time"
"C1-E","c1-e-multi-step-sequence-engine","cat-1",".\components\cat-1\c1-e-multi-step-sequence-engine","True","0","0","0","False","2026-05-25 21:39:26"
"C2-A1","c2-a1-google-sheets-write-adapter","cat-2",".\components\cat-2\c2-a1-google-sheets-write-adapter","True","1","3","3","False","2026-05-25 14:41:36"
"C2-A2","c2-a2-airtable-write-adapter","cat-2",".\components\cat-2\c2-a2-airtable-write-adapter","True","1","3","3","False","2026-05-25 14:41:36"
"C2-A3","c2-a3-hubspot-contact-write-adapter","cat-2",".\components\cat-2\c2-a3-hubspot-contact-write-adapter","True","1","3","3","False","2026-05-25 14:41:36"
"C2-A","c2-a-data-sync-pipeline","cat-2",".\components\cat-2\c2-a-data-sync-pipeline","True","0","0","0","False","2026-05-25 14:46:24"
"C2-B","c2-b-conditional-routing-engine","cat-2",".\components\cat-2\c2-b-conditional-routing-engine","True","1","5","4","False","2026-05-25 15:54:13"
"C2-C","c2-c-webhook-trigger-system","cat-2",".\components\cat-2\c2-c-webhook-trigger-system","True","2","6","4","False","2026-05-25 14:41:36"
"C2-D","c2-d-deduplication-merge-engine","cat-2",".\components\cat-2\c2-d-deduplication-merge-engine","True","1","5","5","False","2026-05-25 14:46:24"
"C2-E","c2-e-form-intake-pipeline","cat-2",".\components\cat-2\c2-e-form-intake-pipeline","True","1","6","6","False","2026-05-25 14:46:24"
"C2-F","c2-f-payload-validation-layer","cat-2",".\components\cat-2\c2-f-payload-validation-layer","True","1","6","5","False","2026-05-25 14:41:36"
"C2-G","c2-g-file-upload-routing","cat-2",".\components\cat-2\c2-g-file-upload-routing","True","1","8","8","False","2026-05-25 14:46:24"
"C2-H","c2-h-payment-on-intake-flow","cat-2",".\components\cat-2\c2-h-payment-on-intake-flow","True","1","10","10","False","2026-05-25 14:46:24"
