"path","role","proposed_action","reason","size_bytes","last_modified"
"README.md","ROOT_README","KEEP_INDEX","Repo entry point.","95","2026-05-25 14:41:36"
"adapters\independent\README.md","ADAPTER_LAYER_INDEX","KEEP_INDEX","Independent adapter folder index/readme.","809","2026-05-27 10:09:01"
"audit\config\component-classification.csv","MACHINE_SOURCE_OF_TRUTH","KEEP_CANONICAL","Machine-readable source of truth for classification.","19598","2026-05-27 11:52:59"
"audit\deferred-scaffolds\cat-4\c4-a-ai-agent-workflow-executor\README.md","DEFERRED_SCAFFOLD_DOC","KEEP_ARCHIVED_OR_DELETE_LATER","Moved out of active components.","405","2026-05-25 20:19:29"
"audit\deferred-scaffolds\cat-4\c4-b-ai-classification-pipeline\README.md","DEFERRED_SCAFFOLD_DOC","KEEP_ARCHIVED_OR_DELETE_LATER","Moved out of active components.","358","2026-05-25 20:19:29"
"audit\deferred-scaffolds\cat-4\c4-d-ai-extraction-parser\README.md","DEFERRED_SCAFFOLD_DOC","KEEP_ARCHIVED_OR_DELETE_LATER","Moved out of active components.","350","2026-05-25 20:19:29"
"audit\deferred-scripts\generate-master-component-docs.ps1","DEFERRED_SCRIPT","REVIEW_DELETE_OR_FIX","Quarantined broken/paused script.","19083","2026-05-27 16:39:51"
"audit\reports\audit-interpretation.md","GENERATED_REPORT","KEEP_GENERATED","Audit output. Regenerated by scripts. Not a canonical manual source.","1551","2026-05-26 20:58:13"
"audit\reports\audit-summary.md","GENERATED_REPORT","KEEP_GENERATED","Audit output. Regenerated by scripts. Not a canonical manual source.","1001","2026-05-27 11:55:45"
"audit\reports\build-completeness.csv","GENERATED_REPORT","KEEP_GENERATED","Audit output. Regenerated by scripts. Not a canonical manual source.","5985","2026-05-27 11:55:45"
"audit\reports\build-completeness.md","GENERATED_REPORT","KEEP_GENERATED","Audit output. Regenerated by scripts. Not a canonical manual source.","3637","2026-05-27 11:55:45"
"audit\reports\catalog-classification-update.md","GENERATED_REPORT","KEEP_GENERATED","Audit output. Regenerated by scripts. Not a canonical manual source.","516","2026-05-26 22:26:23"
"audit\reports\catalog-consistency.md","GENERATED_REPORT","KEEP_GENERATED","Audit output. Regenerated by scripts. Not a canonical manual source.","380","2026-05-27 11:55:45"
"audit\reports\classification-consistency.md","GENERATED_REPORT","KEEP_GENERATED","Audit output. Regenerated by scripts. Not a canonical manual source.","306","2026-05-27 11:55:45"
"audit\reports\classification-summary.md","GENERATED_REPORT","KEEP_GENERATED","Audit output. Regenerated by scripts. Not a canonical manual source.","7312","2026-05-27 11:55:45"
"audit\reports\component-inventory.csv","GENERATED_REPORT","KEEP_GENERATED","Audit output. Regenerated by scripts. Not a canonical manual source.","7938","2026-05-27 11:55:45"
"audit\reports\component-inventory.md","GENERATED_REPORT","KEEP_GENERATED","Audit output. Regenerated by scripts. Not a canonical manual source.","5220","2026-05-27 11:55:45"
"audit\reports\duplicate-component-ids.md","GENERATED_REPORT","KEEP_GENERATED","Audit output. Regenerated by scripts. Not a canonical manual source.","73","2026-05-27 11:55:45"
"audit\reports\git-status.txt","GENERATED_REPORT","KEEP_GENERATED","Audit output. Regenerated by scripts. Not a canonical manual source.","367","2026-05-27 11:53:07"
"audit\reports\json-validation.csv","GENERATED_REPORT","KEEP_GENERATED","Audit output. Regenerated by scripts. Not a canonical manual source.","46438","2026-05-27 11:55:45"
"audit\scripts\check-classification-consistency.ps1","AUDIT_SCRIPT","KEEP_SCRIPT","Audit/generation script.","6468","2026-05-26 22:32:17"
"audit\scripts\generate-classification-summary.ps1","AUDIT_SCRIPT","KEEP_SCRIPT","Audit/generation script.","2100","2026-05-26 22:18:02"
"audit\scripts\run-repo-audit.ps1","AUDIT_SCRIPT","KEEP_SCRIPT","Audit/generation script.","15531","2026-05-26 22:34:18"
"audit\scripts\update-component-catalog-classification.ps1","AUDIT_SCRIPT","KEEP_SCRIPT","Audit/generation script.","4273","2026-05-26 22:26:12"
"client-assets\c4-client-ai-customization-questionnaire.md","LEGACY_CLIENT_ASSET","REVIEW_MERGE_OR_ARCHIVE","Likely superseded by client-config CFG-004/CFG-001 assets.","10746","2026-05-25 23:12:34"
