"path","name","extension","directory","size_bytes","last_modified"
"README.md","README.md",".md","D:\Code\automation-library","95","2026-05-25 14:41:36"
"adapters\independent\README.md","README.md",".md","adapters\independent","809","2026-05-27 10:09:01"
"audit\config\component-classification.csv","component-classification.csv",".csv","audit\config","19598","2026-05-27 11:52:59"
"audit\deferred-scaffolds\cat-4\c4-a-ai-agent-workflow-executor\README.md","README.md",".md","audit\deferred-scaffolds\cat-4\c4-a-ai-agent-workflow-executor","405","2026-05-25 20:19:29"
"audit\deferred-scaffolds\cat-4\c4-b-ai-classification-pipeline\README.md","README.md",".md","audit\deferred-scaffolds\cat-4\c4-b-ai-classification-pipeline","358","2026-05-25 20:19:29"
"audit\deferred-scaffolds\cat-4\c4-d-ai-extraction-parser\README.md","README.md",".md","audit\deferred-scaffolds\cat-4\c4-d-ai-extraction-parser","350","2026-05-25 20:19:29"
"audit\deferred-scripts\generate-master-component-docs.ps1","generate-master-component-docs.ps1",".ps1","audit\deferred-scripts","19083","2026-05-27 16:39:51"
"audit\reports\audit-interpretation.md","audit-interpretation.md",".md","audit\reports","1551","2026-05-26 20:58:13"
"audit\reports\audit-summary.md","audit-summary.md",".md","audit\reports","1001","2026-05-27 11:55:45"
"audit\reports\build-completeness.csv","build-completeness.csv",".csv","audit\reports","5985","2026-05-27 11:55:45"
"audit\reports\build-completeness.md","build-completeness.md",".md","audit\reports","3637","2026-05-27 11:55:45"
"audit\reports\catalog-classification-update.md","catalog-classification-update.md",".md","audit\reports","516","2026-05-26 22:26:23"
"audit\reports\catalog-consistency.md","catalog-consistency.md",".md","audit\reports","380","2026-05-27 11:55:45"
"audit\reports\classification-consistency.md","classification-consistency.md",".md","audit\reports","306","2026-05-27 11:55:45"
"audit\reports\classification-summary.md","classification-summary.md",".md","audit\reports","7312","2026-05-27 11:55:45"
"audit\reports\component-inventory.csv","component-inventory.csv",".csv","audit\reports","7938","2026-05-27 11:55:45"
"audit\reports\component-inventory.md","component-inventory.md",".md","audit\reports","5220","2026-05-27 11:55:45"
"audit\reports\duplicate-component-ids.md","duplicate-component-ids.md",".md","audit\reports","73","2026-05-27 11:55:45"
"audit\reports\git-status.txt","git-status.txt",".txt","audit\reports","367","2026-05-27 11:53:07"
"audit\reports\json-validation.csv","json-validation.csv",".csv","audit\reports","46438","2026-05-27 11:55:45"
"audit\scripts\check-classification-consistency.ps1","check-classification-consistency.ps1",".ps1","audit\scripts","6468","2026-05-26 22:32:17"
"audit\scripts\generate-classification-summary.ps1","generate-classification-summary.ps1",".ps1","audit\scripts","2100","2026-05-26 22:18:02"
"audit\scripts\run-repo-audit.ps1","run-repo-audit.ps1",".ps1","audit\scripts","15531","2026-05-26 22:34:18"
"audit\scripts\update-component-catalog-classification.ps1","update-component-catalog-classification.ps1",".ps1","audit\scripts","4273","2026-05-26 22:26:12"
"client-assets\c4-client-ai-customization-questionnaire.md","c4-client-ai-customization-questionnaire.md",".md","client-assets","10746","2026-05-25 23:12:34"
"client-assets\c4-client-ai-profile-schema.json","c4-client-ai-profile-schema.json",".json","client-assets","4014","2026-05-25 23:13:10"
"client-assets\sample-c4-client-ai-profile.json","sample-c4-client-ai-profile.json",".json","client-assets","8687","2026-05-25 23:13:27"
"client-config\README.md","README.md",".md","client-config","495","2026-05-27 10:09:01"
"client-config\examples\adapter-gap-report.example.json","adapter-gap-report.example.json",".json","client-config\examples","2218","2026-05-27 11:52:24"
"client-config\examples\ai-profile-response.example.json","ai-profile-response.example.json",".json","client-config\examples","3423","2026-05-27 11:27:32"
"client-config\examples\assembly-recommendation.example.json","assembly-recommendation.example.json",".json","client-config\examples","1991","2026-05-27 11:52:33"
"client-config\examples\client-profile.example.json","client-profile.example.json",".json","client-config\examples","6274","2026-05-27 10:52:39"
"client-config\examples\credential-readiness-response.example.json","credential-readiness-response.example.json",".json","client-config\examples","5840","2026-05-27 11:42:19"
"client-config\examples\README.md","README.md",".md","client-config\examples","110","2026-05-27 10:09:01"
"client-config\examples\template-config.example.json","template-config.example.json",".json","client-config\examples","6032","2026-05-27 11:52:01"
"client-config\examples\tool-stack-response.example.json","tool-stack-response.example.json",".json","client-config\examples","5210","2026-05-27 11:13:54"
"client-config\examples\workflow-discovery-response.example.json","workflow-discovery-response.example.json",".json","client-config\examples","5952","2026-05-27 11:06:33"
"client-config\generators\README.md","README.md",".md","client-config\generators","962","2026-05-27 11:52:49"
"client-config\generators\template-config-generator\README.md","README.md",".md","client-config\generators\template-config-generator","1261","2026-05-27 11:50:11"
"client-config\generators\template-config-generator\template-config-generator-spec.md","template-config-generator-spec.md",".md","client-config\generators\template-config-generator","10450","2026-05-27 11:51:31"
"client-config\questionnaires\ai-profile-compatibility-map.md","ai-profile-compatibility-map.md",".md","client-config\questionnaires","9932","2026-05-27 11:26:39"
"client-config\questionnaires\client-facing-ai-customization-form.md","client-facing-ai-customization-form.md",".md","client-config\questionnaires","4612","2026-05-27 11:27:08"
"client-config\questionnaires\client-facing-credential-checklist.md","client-facing-credential-checklist.md",".md","client-config\questionnaires","4177","2026-05-27 11:42:00"
