"component_id","component_name","primary_category","layer_type","readiness","execution_level","provider","priority","folder_path","folder_exists","readme_present","workflow_json_count","valid_workflow_json_count","invalid_workflow_json_count","n8n_node_count_total","code_node_count","trigger_node_count","credential_reference_count","test_payload_count","output_sample_count","production_80_20_status","discussion_flag","notes"
"C2-A1","Google Sheets Write Adapter","Category 2 - Automation Workflows","COMPONENT_ADAPTER","BUILT","provider_execution","Google Sheets","P0","components/cat-2/c2-a1-google-sheets-write-adapter","True","True","1","1","0","6","3","1","1","3","3","PASS_80_20","OK","Built write adapter for Google Sheets"
"C2-A2","Airtable Write Adapter","Category 2 - Automation Workflows","COMPONENT_ADAPTER","BUILT","provider_execution","Airtable","P0","components/cat-2/c2-a2-airtable-write-adapter","True","True","1","1","0","6","3","1","1","3","3","PASS_80_20","OK","Built write adapter for Airtable"
"C2-A3","HubSpot Contact Write Adapter","Category 2 - Automation Workflows","COMPONENT_ADAPTER","BUILT","provider_execution","HubSpot","P0","components/cat-2/c2-a3-hubspot-contact-write-adapter","True","True","1","1","0","6","3","1","1","3","3","PASS_80_20","OK","Built contact write adapter for HubSpot"
"C2-B","Conditional Routing Engine","Category 2 - Automation Workflows","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-2/c2-b-conditional-routing-engine","True","True","1","1","0","3","1","1","0","5","4","PASS_80_20","OK","Reusable branching and routing engine"
"C2-C","Webhook Trigger System","Category 2 - Automation Workflows","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-2/c2-c-webhook-trigger-system","True","True","2","2","0","7","2","1","0","6","4","PASS_80_20","OK","Webhook intake foundation"
"C2-D","Deduplication / Merge Engine","Category 2 - Automation Workflows","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-2/c2-d-deduplication-merge-engine","True","True","1","1","0","3","1","1","0","5","5","PASS_80_20","OK","Duplicate detection and merge preparation"
"C2-E","Form Intake Pipeline","Category 2 - Automation Workflows","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-2/c2-e-form-intake-pipeline","True","True","1","1","0","3","1","1","0","6","6","PASS_80_20","OK","Form intake normalization"
"C2-F","Payload Validation Layer","Category 2 - Automation Workflows","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-2/c2-f-payload-validation-layer","True","True","1","1","0","3","1","1","0","6","5","PASS_80_20","OK","Required field and schema validation"
"C2-G","File Upload Routing","Category 2 - Automation Workflows","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P1","components/cat-2/c2-g-file-upload-routing","True","True","1","1","0","3","1","1","0","8","8","PASS_80_20","OK","File routing by extension/category"
"C2-H","Payment-on-Intake Flow","Category 2 - Automation Workflows","HANDOFF_ONLY_CORE","BUILT","handoff_only","provider_agnostic","P1","components/cat-2/c2-h-payment-on-intake-flow","True","True","1","1","0","3","1","1","0","10","10","PASS_HANDOFF_ONLY","OK","Prepares payment provider handoffs; does not create live payment links"
"C2-I","Notification / Alert Engine","Category 2 - Automation Workflows","COMPONENT_ADAPTER","BUILT","provider_execution","Email/SMTP","P0","components/cat-2/c2-i-notification-alert-engine","True","True","1","1","0","6","3","1","1","3","3","PASS_80_20","OK","Built email notification implementation"
"C2-J","Digest Summary Notification Builder","Category 2 - Automation Workflows","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P1","components/cat-2/c2-j-digest-summary-notification-builder","True","True","1","1","0","3","1","1","0","6","6","PASS_80_20","OK","Builds summary/digest objects"
