item_id,layer,path,source_state,implementation_state,local_runtime_state,provider_state
ADP-GHL,adapter,adapters/independent/gohighlevel-adapter,DEFERRED_ADAPTER,IMPLEMENTED,PENDING,PENDING
ADP-NOTION-DB,adapter,adapters/independent/notion-database-adapter,DEFERRED_ADAPTER,IMPLEMENTED,PENDING,PENDING
ADP-ONEDRIVE,adapter,adapters/independent/adp-onedrive,NOT_BUILT,IMPLEMENTED,PENDING,PENDING
ADP-PDF,adapter,adapters/independent/pdf-text-extraction-adapter,DEFERRED_ADAPTER,IMPLEMENTED,PENDING,PENDING
ADP-PIPEDRIVE,adapter,adapters/independent/pipedrive-adapter,DEFERRED_ADAPTER,IMPLEMENTED,PENDING,PENDING
ADP-TEAMS-SEND,adapter,adapters/independent/adp-teams-send,DEFERRED,IMPLEMENTED,PENDING,PENDING
C1-E,core,components/cat-1/c1-e-multi-step-sequence-engine,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C3-D,core,components/cat-3/c3-d-e-signature-flow,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C3-E,core,components/cat-3/c3-e-document-invoice-generation,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C3-F,core,components/cat-3/c3-f-delivery-tracking,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C3-G,core,components/cat-3/c3-g-subscription-billing-engine,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C3-H,core,components/cat-3/c3-h-payment-to-onboarding,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C3-I,core,components/cat-3/c3-i-welcome-sequence,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C4-C,core,components/cat-4/c4-c-ai-summary-generator,NOT_BUILT,IMPLEMENTED,PENDING,PENDING
C4-F,core,components/cat-4/c4-f-ai-content-repurpose-engine,NOT_BUILT,IMPLEMENTED,PENDING,PENDING
C5-A,core,components/cat-5/c5-a-basic-dashboard-view,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C5-B,core,components/cat-5/c5-b-client-portal-table,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C5-C,core,components/cat-5/c5-c-reporting-data-model,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C5-D,core,components/cat-5/c5-d-kpi-summary-builder,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C5-L,core,components/cat-5/c5-l-file-preview,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C5-T,core,components/cat-5/c5-t-export-reports,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C5-X,core,components/cat-5/c5-x-kpi-monitoring-threshold-alert-engine,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C6-A,diagnostic,components/cat-6/c6-a-workflow-audit-checker,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C6-B,diagnostic,components/cat-6/c6-b-error-pattern-library,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C6-C,diagnostic,components/cat-6/c6-c-api-auth-debugger,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C6-C1,diagnostic_adapter,components/cat-6/c6-c1-credential-api-access-test-adapter,NOT_BUILT,IMPLEMENTED,PENDING,PENDING
C6-D,diagnostic,components/cat-6/c6-d-data-mapping-diagnostic,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C6-E,diagnostic,components/cat-6/c6-e-integration-health-check,NOT_BUILT,IMPLEMENTED,PENDING,N/A
C6-F,diagnostic,components/cat-6/c6-f-handoff-documentation-pack,NOT_BUILT,IMPLEMENTED,PENDING,N/A
TPL-P0-001,template,templates/p0/lead-intake-qualification-followup,NOT_BUILT,IMPLEMENTED,PENDING,PENDING
TPL-P0-002,template,templates/p0/form-crm-alert,NOT_BUILT,IMPLEMENTED,PENDING,PENDING
TPL-P0-003,template,templates/p0/csv-crm-import,NOT_BUILT,IMPLEMENTED,PENDING,PENDING
TPL-P0-004,template,templates/p0/webhook-normalize-api-sync,NOT_BUILT,IMPLEMENTED,PENDING,PENDING
TPL-P0-005,template,templates/p0/ai-email-approval-send,NOT_BUILT,IMPLEMENTED,PENDING,PENDING
TPL-P0-006,template,templates/p0/inbound-email-extract-crm,NOT_BUILT,IMPLEMENTED,PENDING,PENDING
